sku,name,price,category
P001,Wireless Mouse,25.99,Electronics
P002,Mechanical Keyboard,89.50,Electronics
P003,Desk Lamp,34.20,Home
P004,Office Chair,199.99,Furniture
P005,Notebook,4.50,Stationery
P006,Pen Set,6.75,Stationery
P007,Monitor Stand,45.00,Accessories
P008,USB Cable,12.30,Accessories
P009,Coffee Mug,9.99,Kitchen
P010,Desk Mat,22.40,Accessories
P011,Wireless Mouse,25.99,Electronics
P012,Mechanical Keyboard,89.50,Electronics
P013,Desk Lamp,34.20,Home
P014,Office Chair,199.99,Furniture
P015,Notebook,4.50,Stationery
P016,Pen Set,6.75,Stationery
P017,Monitor Stand,45.00,Accessories
P018,USB Cable,12.30,Accessories
P019,Coffee Mug,9.99,Kitchen
P020,Desk Mat,22.40,Accessories
P021,Wireless Mouse,25.99,Electronics
P022,Mechanical Keyboard,89.50,Electronics
P023,Desk Lamp,34.20,Home
P024,Office Chair,199.99,Furniture
P025,Notebook,4.50,Stationery
P026,Pen Set,6.75,Stationery
P027,Monitor Stand,45.00,Accessories
P028,USB Cable,12.30,Accessories
P029,Coffee Mug,9.99,Kitchen
P030,Desk Mat,22.40,Accessories
P031,Wireless Mouse,25.99,Electronics
P032,Mechanical Keyboard,89.50,Electronics
P033,Desk Lamp,34.20,Home
P034,Office Chair,199.99,Furniture
P035,Notebook,4.50,Stationery
P036,Pen Set,6.75,Stationery
P037,Monitor Stand,45.00,Accessories
P038,USB Cable,12.30,Accessories
P039,Coffee Mug,9.99,Kitchen
P040,Desk Mat,22.40,Accessories
P041,Wireless Mouse,25.99,Electronics
P042,Mechanical Keyboard,89.50,Electronics
P043,Desk Lamp,34.20,Home
P044,Office Chair,199.99,Furniture
P045,Notebook,4.50,Stationery
P046,Pen Set,6.75,Stationery
P047,Monitor Stand,45.00,Accessories
P048,USB Cable,12.30,Accessories
P049,Coffee Mug,9.99,Kitchen
P050,Desk Mat,22.40,Accessories
P051,Wireless Mouse,25.99,Electronics
P052,Mechanical Keyboard,89.50,Electronics
P053,Desk Lamp,34.20,Home
P054,Office Chair,199.99,Furniture
P055,Notebook,4.50,Stationery
P056,Pen Set,6.75,Stationery
P057,Monitor Stand,45.00,Accessories
P058,USB Cable,12.30,Accessories
P059,Coffee Mug,9.99,Kitchen
P060,Desk Mat,22.40,Accessories
